#Aex(*1e12), B_anis, A, Msat, W(nm), drift_const 
11 350 0.01 1.2e+06 100 19.8039 
11 350 0.01 1.2e+06 50 13.8068 
11 350 0.05 1.2e+06 100 5.98221 
11 350 0.05 1.2e+06 50 2.91603 
11 20 0.01 795000 100 26.9651 
11 20 0.01 795000 50 14.9599 
11 20 0.05 795000 100 5.11551 
11 20 0.05 795000 50 2.77719 
11 350 0.01 795000 100 13.2439 
11 350 0.01 795000 50 10.5141 
11 350 0.05 795000 100 2.69524 
11 350 0.05 795000 50 1.93966 
11 20 0.01 1.2e+06 100 30.8337 
11 20 0.01 1.2e+06 50 14.0762 
11 20 0.05 1.2e+06 100 5.41699 
11 20 0.05 1.2e+06 50 2.5394 
31 350 0.01 1.2e+06 100 23.9387 
31 350 0.01 1.2e+06 50 13.8803 
31 350 0.05 1.2e+06 100 5.06097 
31 350 0.05 1.2e+06 50 2.40106 
31 20 0.01 795000 100 24.5921 
31 20 0.01 795000 50 14.2263 
31 20 0.05 795000 100 5.16705 
31 20 0.05 795000 50 2.80303 
31 350 0.01 795000 100 18.9469 
31 350 0.01 795000 50 13.5755 
31 350 0.05 795000 100 3.37071 
31 350 0.05 795000 50 2.23016 
31 20 0.01 1.2e+06 100 22.3742 
31 20 0.01 1.2e+06 50 11.9071 
31 20 0.05 1.2e+06 100 4.50465 
31 20 0.05 1.2e+06 50 2.22159 
