#Aex(*1e12), B_anis, A, Msat, W(nm), c2 
11 350 0.01 1.2e+06 100 -4.19827e-20 
11 350 0.01 1.2e+06 50 -4.11644e-20 
11 350 0.05 1.2e+06 100 -1.04641e-21 
11 350 0.05 1.2e+06 50 -2.67686e-22 
11 20 0.01 795000 100 -6.24891e-19 
11 20 0.01 795000 50 -3.5832e-19 
11 20 0.05 795000 100 -1.78466e-20 
11 20 0.05 795000 50 -3.06343e-21 
11 350 0.01 795000 100 -1.09404e-19 
11 350 0.01 795000 50 -9.96213e-20 
11 350 0.05 795000 100 -1.21205e-21 
11 350 0.05 795000 50 -3.36143e-22 
11 20 0.01 1.2e+06 100 -1.60047e-19 
11 20 0.01 1.2e+06 50 -9.49549e-20 
11 20 0.05 1.2e+06 100 -4.21517e-21 
11 20 0.05 1.2e+06 50 -2.79387e-22 
31 350 0.01 1.2e+06 100 -1.04774e-19 
31 350 0.01 1.2e+06 50 -7.86028e-20 
31 350 0.05 1.2e+06 100 -2.02797e-21 
31 350 0.05 1.2e+06 50 -1.0105e-22 
31 20 0.01 795000 100 -1.24304e-18 
31 20 0.01 795000 50 -4.21493e-19 
31 20 0.05 795000 100 -3.06263e-20 
31 20 0.05 795000 50 -4.7016e-21 
31 350 0.01 795000 100 -2.34247e-19 
31 350 0.01 795000 50 -2.43331e-19 
31 350 0.05 795000 100 -3.2094e-21 
31 350 0.05 795000 50 -5.9227e-22 
31 20 0.01 1.2e+06 100 -3.35282e-19 
31 20 0.01 1.2e+06 50 -8.83194e-20 
31 20 0.05 1.2e+06 100 -3.60286e-21 
31 20 0.05 1.2e+06 50 -2.17417e-22 
