#Aex(*1e12), B_anis, A, Msat, W(nm), d2 
11 350 0.01 1.2e+06 100 1.29749e-12 
11 350 0.01 1.2e+06 50 1.79247e-12 
11 350 0.05 1.2e+06 100 1.14876e-13 
11 350 0.05 1.2e+06 50 3.54164e-14 
11 20 0.01 795000 100 5.00925e-12 
11 20 0.01 795000 50 4.91715e-12 
11 20 0.05 795000 100 2.39672e-12 
11 20 0.05 795000 50 2.05405e-12 
11 350 0.01 795000 100 3.04999e-12 
11 350 0.01 795000 50 3.51861e-12 
11 350 0.05 795000 100 1.11848e-12 
11 350 0.05 795000 50 1.55811e-12 
11 20 0.01 1.2e+06 100 3.29422e-12 
11 20 0.01 1.2e+06 50 3.38823e-12 
11 20 0.05 1.2e+06 100 9.63854e-13 
11 20 0.05 1.2e+06 50 3.90235e-13 
31 350 0.01 1.2e+06 100 2.1304e-12 
31 350 0.01 1.2e+06 50 2.81582e-12 
31 350 0.05 1.2e+06 100 3.7673e-13 
31 350 0.05 1.2e+06 50 1.11262e-13 
31 20 0.01 795000 100 4.30631e-12 
31 20 0.01 795000 50 4.19365e-12 
31 20 0.05 795000 100 2.97909e-12 
31 20 0.05 795000 50 2.1794e-12 
31 350 0.01 795000 100 4.299e-12 
31 350 0.01 795000 50 4.88896e-12 
31 350 0.05 795000 100 1.43301e-12 
31 350 0.05 795000 50 1.59918e-12 
31 20 0.01 1.2e+06 100 2.89434e-12 
31 20 0.01 1.2e+06 50 3.0798e-12 
31 20 0.05 1.2e+06 100 8.64053e-13 
31 20 0.05 1.2e+06 50 3.49267e-13 
