#Aex(*1e12), Xi, B_anis, A, Msat, W(nm), drift_const 
11 0.01 350 0.01 1.2e+06 100 15.833
11 0.01 350 0.01 1.2e+06 50 11.1333
11 0.01 350 0.05 1.2e+06 100 4.37769
11 0.01 350 0.05 1.2e+06 50 2.29269
11 0.01 20 0.01 795000 100 18.4994
11 0.01 20 0.01 795000 50 11.7179
11 0.01 20 0.05 795000 100 3.36506
11 0.01 20 0.05 795000 50 2.06793
11 0.01 350 0.01 795000 100 10.9109
11 0.01 350 0.01 795000 50 8.80952
11 0.01 350 0.05 795000 100 2.23956
11 0.01 350 0.05 795000 50 1.68633
11 0.01 20 0.01 1.2e+06 100 17.3121
11 0.01 20 0.01 1.2e+06 50 10.8541
11 0.01 20 0.05 1.2e+06 100 3.35312
11 0.01 20 0.05 1.2e+06 50 1.94647
11 0.05 350 0.01 1.2e+06 100 15.8331
11 0.05 350 0.01 1.2e+06 50 11.1295
11 0.05 350 0.05 1.2e+06 100 4.37802
11 0.05 350 0.05 1.2e+06 50 2.38663
11 0.05 20 0.01 795000 100 18.5026
11 0.05 20 0.01 795000 50 12.3651
11 0.05 20 0.05 795000 100 3.36463
11 0.05 20 0.05 795000 50 2.11406
11 0.05 350 0.01 795000 100 10.9114
11 0.05 350 0.01 795000 50 8.80973
11 0.05 350 0.05 795000 100 2.2395
11 0.05 350 0.05 795000 50 1.68626
11 0.05 20 0.01 1.2e+06 100 17.34
11 0.05 20 0.01 1.2e+06 50 10.8539
11 0.05 20 0.05 1.2e+06 100 3.35194
11 0.05 20 0.05 1.2e+06 50 1.94643
#21 0.03 150 0.03 998000 75 4.04184
31 0.01 350 0.01 1.2e+06 100 17.0611
31 0.01 350 0.01 1.2e+06 50 10.7475
31 0.01 350 0.05 1.2e+06 100 3.74649
31 0.01 350 0.05 1.2e+06 50 2.01573
31 0.01 20 0.01 795000 100 15.2213
31 0.01 20 0.01 795000 50 11.2106
31 0.01 20 0.05 795000 100 3.2785
31 0.01 20 0.05 795000 50 2.09555
31 0.01 350 0.01 795000 100 14.2347
31 0.01 350 0.01 795000 50 10.8722
31 0.01 350 0.05 795000 100 2.69529
31 0.01 350 0.05 795000 50 1.89959
31 0.01 20 0.01 1.2e+06 100 15.6142
31 0.01 20 0.01 1.2e+06 50 9.91666
31 0.01 20 0.05 1.2e+06 100 2.97517
31 0.01 20 0.05 1.2e+06 50 1.74943
31 0.05 350 0.01 1.2e+06 100 17.0594
31 0.05 350 0.01 1.2e+06 50 10.7464
31 0.05 350 0.05 1.2e+06 100 3.74633
31 0.05 350 0.05 1.2e+06 50 2.01548
31 0.05 20 0.01 795000 100 15.2238
31 0.05 20 0.01 795000 50 11.205
31 0.05 20 0.05 795000 100 3.28072
31 0.05 20 0.05 795000 50 2.09622
31 0.05 350 0.01 795000 100 14.2357
31 0.05 350 0.01 795000 50 10.8741
31 0.05 350 0.05 795000 100 2.6954
31 0.05 350 0.05 795000 50 1.89942
31 0.05 20 0.01 1.2e+06 100 15.6321
31 0.05 20 0.01 1.2e+06 50 9.91771
31 0.05 20 0.05 1.2e+06 100 2.9753
31 0.05 20 0.05 1.2e+06 50 1.74944
