#Aex(*1e12), Xi, B_anis, A, Msat, W(nm), c1 
11 0.01 350 0.01 1.2e+06 100 2.09465e-09
11 0.01 350 0.01 1.2e+06 50 2.0949e-09
11 0.01 350 0.05 1.2e+06 100 4.09925e-10
11 0.01 350 0.05 1.2e+06 50 3.95512e-10
11 0.01 20 0.01 795000 100 1.28834e-08
11 0.01 20 0.01 795000 50 1.14437e-08
11 0.01 20 0.05 795000 100 2.53405e-09
11 0.01 20 0.05 795000 50 1.82735e-09
11 0.01 350 0.01 795000 100 4.19803e-09
11 0.01 350 0.01 795000 50 4.08757e-09
11 0.01 350 0.05 795000 100 8.05477e-10
11 0.01 350 0.05 795000 50 7.90744e-10
11 0.01 20 0.01 1.2e+06 100 5.53454e-09
11 0.01 20 0.01 1.2e+06 50 4.71666e-09
11 0.01 20 0.05 1.2e+06 100 1.0622e-09
11 0.01 20 0.05 1.2e+06 50 9.09635e-10
11 0.05 350 0.01 1.2e+06 100 2.09326e-09
11 0.05 350 0.01 1.2e+06 50 2.06368e-09
11 0.05 350 0.05 1.2e+06 100 4.09845e-10
11 0.05 350 0.05 1.2e+06 50 4.02452e-10
11 0.05 20 0.01 795000 100 1.28887e-08
11 0.05 20 0.01 795000 50 1.11686e-08
11 0.05 20 0.05 795000 100 2.53199e-09
11 0.05 20 0.05 795000 50 2.09662e-09
11 0.05 350 0.01 795000 100 4.19901e-09
11 0.05 350 0.01 795000 50 4.08708e-09
11 0.05 350 0.05 795000 100 8.05293e-10
11 0.05 350 0.05 795000 50 7.90809e-10
11 0.05 20 0.01 1.2e+06 100 5.57442e-09
11 0.05 20 0.01 1.2e+06 50 4.71751e-09
11 0.05 20 0.05 1.2e+06 100 1.05838e-09
11 0.05 20 0.05 1.2e+06 50 9.09464e-10
#21 0.03 150 0.03 998000 75 1.85805e-09
31 0.01 350 0.01 1.2e+06 100 3.76184e-09
31 0.01 350 0.01 1.2e+06 50 3.59307e-09
31 0.01 350 0.05 1.2e+06 100 7.23643e-10
31 0.01 350 0.05 1.2e+06 50 7.01421e-10
31 0.01 20 0.01 795000 100 2.32919e-08
31 0.01 20 0.01 795000 50 1.90917e-08
31 0.01 20 0.05 795000 100 4.46256e-09
31 0.01 20 0.05 795000 50 3.64466e-09
31 0.01 350 0.01 795000 100 7.31999e-09
31 0.01 350 0.01 795000 50 7.10858e-09
31 0.01 350 0.05 795000 100 1.38308e-09
31 0.01 350 0.05 795000 50 1.34747e-09
31 0.01 20 0.01 1.2e+06 100 1.02828e-08
31 0.01 20 0.01 1.2e+06 50 8.33623e-09
31 0.01 20 0.05 1.2e+06 100 1.9473e-09
31 0.01 20 0.05 1.2e+06 50 1.61503e-09
31 0.05 350 0.01 1.2e+06 100 3.7621e-09
31 0.05 350 0.01 1.2e+06 50 3.59348e-09
31 0.05 350 0.05 1.2e+06 100 7.24528e-10
31 0.05 350 0.05 1.2e+06 50 7.01767e-10
31 0.05 20 0.01 795000 100 2.32917e-08
31 0.05 20 0.01 795000 50 1.90854e-08
31 0.05 20 0.05 795000 100 4.46161e-09
31 0.05 20 0.05 795000 50 3.64294e-09
31 0.05 350 0.01 795000 100 7.3195e-09
31 0.05 350 0.01 795000 50 7.10639e-09
31 0.05 350 0.05 795000 100 1.38501e-09
31 0.05 350 0.05 795000 50 1.34736e-09
31 0.05 20 0.01 1.2e+06 100 1.02945e-08
31 0.05 20 0.01 1.2e+06 50 8.33616e-09
31 0.05 20 0.05 1.2e+06 100 1.94696e-09
31 0.05 20 0.05 1.2e+06 50 1.61497e-09
