#Aex(*1e12), B_anis, A, Msat, W(nm), c3 
11 350 0.01 1.2e+06 100 3.83265e-31 
11 350 0.01 1.2e+06 50 2.92975e-31 
11 350 0.05 1.2e+06 100 -1.55942e-32 
11 350 0.05 1.2e+06 50 -1.24944e-32 
11 20 0.01 795000 100 1.04196e-29 
11 20 0.01 795000 50 3.05929e-30 
11 20 0.05 795000 100 -6.29929e-32 
11 20 0.05 795000 50 -1.28947e-31 
11 350 0.01 795000 100 1.03521e-30 
11 350 0.01 795000 50 7.85948e-31 
11 350 0.05 795000 100 -3.19612e-32 
11 350 0.05 795000 50 -2.63756e-32 
11 20 0.01 1.2e+06 100 1.79483e-30 
11 20 0.01 1.2e+06 50 3.97306e-31 
11 20 0.05 1.2e+06 100 -4.83106e-32 
11 20 0.05 1.2e+06 50 -3.4938e-32 
31 350 0.01 1.2e+06 100 1.04757e-30 
31 350 0.01 1.2e+06 50 4.20631e-31 
31 350 0.05 1.2e+06 100 -2.85414e-32 
31 350 0.05 1.2e+06 50 -2.00951e-32 
31 20 0.01 795000 100 1.434e-29 
31 20 0.01 795000 50 -7.90319e-30 
31 20 0.05 795000 100 -2.27231e-31 
31 20 0.05 795000 50 -2.66324e-31 
31 350 0.01 795000 100 2.54538e-30 
31 350 0.01 795000 50 2.3537e-30 
31 350 0.05 795000 100 -7.40306e-32 
31 350 0.05 795000 50 -6.15641e-32 
31 20 0.01 1.2e+06 100 1.5248e-30 
31 20 0.01 1.2e+06 50 -1.90744e-30 
31 20 0.05 1.2e+06 100 -1.38473e-31 
31 20 0.05 1.2e+06 50 -5.46919e-32 
