Aex,Ku,B_anis,A,Msat,W,c0,c1,c2,c3,d0,d1,k0,k1,k2,k3,k4
1.1e-11,1110000.0,0.34203552627689926,0.01,1200000.0,1e-07,0.18024998963918035,-1.9892501466817186e-09,4.4712539635365126e-20,-4.288885932621859e-31,49154617.21376667,0.0013472790404595036,8860119.243499318,-0.09753798246948517,-4.822472584235295e-13,3.915841286728863e-23,-5.7783261239430415e-34
1.1e-11,1110000.0,0.34203552627689926,0.01,1200000.0,5e-08,0.704316722897196,-2.2313317529040365e-09,4.0287776821100784e-20,-2.7800270318928614e-31,73364380.20540142,0.0017652994930260457,51671759.84365225,-0.16245694113057638,-9.83281035840817e-13,5.0724495982527536e-23,-4.907580309999171e-34
1.1e-11,405000.0,0.019841460686747636,0.01,795000.0,1e-07,-9.843441068814089,-8.484757038697142e-09,3.2890858717384377e-19,-4.01604806534409e-30,33522663.852875505,0.0058761524232879584,-329978366.1054443,-0.3422732181715678,-3.8831833627796805e-11,1.7980883622502796e-21,-2.359891057121259e-32
1.1e-11,405000.0,0.019841460686747636,0.01,795000.0,5e-08,2.855613473610467,-1.1346985269153294e-08,4.1005640477825233e-19,-4.671632037031762e-30,58160169.982522644,0.007306728186474068,166082965.02956668,-0.6390774005858314,-5.906038689330316e-11,2.7244677774679102e-21,-3.4134345481815244e-32
1.1e-11,536000.0,0.3494012091144205,0.01,795000.0,1e-07,1.0843948590641248,-4.444599214440639e-09,1.1243996724080866e-19,-1.0866648209653195e-30,76434455.10702488,0.003027435216064648,82885130.17342542,-0.33643758394043083,-4.8614485547879225e-12,2.573460830435226e-22,-3.289807347048994e-33
1.1e-11,536000.0,0.3494012091144205,0.01,795000.0,5e-08,1.596158849261321,-4.5291567023399375e-09,9.535974563843464e-20,-7.2066650785443465e-31,98401324.1610677,0.003412445208447062,157064144.33872002,-0.4402282122261424,-6.071973844721249e-12,2.5449536843119804e-22,-2.4592349716161426e-33
1.1e-11,917000.0,0.020368859610232493,0.01,1200000.0,1e-07,-0.3366316150946823,-4.917988241836557e-09,1.7011958904925965e-19,-1.9473854868489996e-30,34456006.311602466,0.003234480912235468,-11598981.054387305,-0.17054306243458586,-1.0045497460810304e-11,4.8314943695118e-22,-6.298781185977463e-33
1.1e-11,917000.0,0.020368859610232493,0.01,1200000.0,5e-08,2.593768038293638,-5.24695133090364e-09,1.3076481290344705e-19,-1.0417635631851191e-30,69954502.3728153,0.003732509887362096,181445752.38934478,-0.35736660447929025,-1.0436710306570608e-11,4.152049054284248e-22,-3.888392799882025e-33
3.1e-11,1110000.0,0.34203552627689926,0.01,1200000.0,1e-07,0.8446670084025157,-3.85601486827702e-09,1.093442265277356e-19,-1.1200642877240213e-30,42508265.99558841,0.0021078262888319242,35905329.87087205,-0.16213209437804352,-3.4797760431582135e-12,1.8286664453242223e-22,-2.3609009508464964e-33
3.1e-11,1110000.0,0.34203552627689926,0.01,1200000.0,5e-08,1.6783436476707516,-4.045736796201608e-09,7.162658942091105e-20,-3.0502081658290793e-31,77793612.76260659,0.0026256324330996843,130564415.80947909,-0.31032576814792534,-5.050526586975181e-12,1.64336424966074e-22,-8.008725487906331e-34
3.1e-11,405000.0,0.019841460686747636,0.01,795000.0,1e-07,-28.300511762846813,-1.1481317399194924e-08,5.054073652658139e-19,-6.486789762048129e-30,29693619.39746538,0.009994801936357383,-840344625.0394653,-0.6237798788003974,-9.974611942852829e-11,4.858830246702408e-21,-6.483417887446189e-32
3.1e-11,405000.0,0.019841460686747636,0.01,795000.0,5e-08,5.280313394563234,-2.0021710406092965e-08,8.249108856466377e-19,-9.96365751743653e-30,53943363.629979014,0.011529842266827458,284837865.5231734,-1.0191572243712772,-1.863486950275852e-10,8.973619195147024e-21,-1.1487939957673284e-31
3.1e-11,536000.0,0.3494012091144205,0.01,795000.0,1e-07,1.1305423098289007,-7.559535301758063e-09,2.458841573830177e-19,-2.7243736060938703e-30,55106663.306758836,0.004237616510522365,62300414.42178666,-0.4117899618715641,-1.8484556133234583e-11,8.918316259693202e-22,-1.154485057401474e-32
